RouteId,Route,Type,PointRange,GoogleMapsDrivingLink
1,Маршрут №1,full,1-8,"https://www.google.com/maps/dir/?api=1&origin=50.4865819,30.3942046&destination=50.4865083,30.3944231&travelmode=driving&waypoints=50.4862451,30.3960940|50.4866666,30.3955791|50.4810374,30.4071635|50.4819282,30.4029943|50.4815977,30.3957863|50.4878223,30.3941388"
1,Маршрут №1,part 1,1-8,"https://www.google.com/maps/dir/?api=1&origin=50.4865819,30.3942046&destination=50.4865083,30.3944231&travelmode=driving&waypoints=50.4862451,30.3960940|50.4866666,30.3955791|50.4810374,30.4071635|50.4819282,30.4029943|50.4815977,30.3957863|50.4878223,30.3941388"
2,Маршрут №2,full,1-9,"https://www.google.com/maps/dir/?api=1&origin=50.4865986,30.3941926&destination=50.4865177,30.3944411&travelmode=driving&waypoints=50.4935591,30.3792992|50.5073771,30.4090167|50.5072440,30.4075951|50.4821437,30.4057020|50.4865225,30.3953970|50.4863211,30.3962070|50.4878584,30.3942579"
2,Маршрут №2,part 1,1-9,"https://www.google.com/maps/dir/?api=1&origin=50.4865986,30.3941926&destination=50.4865177,30.3944411&travelmode=driving&waypoints=50.4935591,30.3792992|50.5073771,30.4090167|50.5072440,30.4075951|50.4821437,30.4057020|50.4865225,30.3953970|50.4863211,30.3962070|50.4878584,30.3942579"
3,Маршрут №3,full,1-10,"https://www.google.com/maps/dir/?api=1&origin=50.4866143,30.3941706&destination=50.4865287,30.3944730&travelmode=driving&waypoints=50.4873407,30.3943120|50.4862313,30.3960858|50.4866255,30.3954930|50.4809593,30.4072924|50.4814638,30.3993498|50.4719213,30.3959536|50.4865494,30.3962091|50.4878561,30.3942440"
3,Маршрут №3,part 1,1-10,"https://www.google.com/maps/dir/?api=1&origin=50.4866143,30.3941706&destination=50.4865287,30.3944730&travelmode=driving&waypoints=50.4873407,30.3943120|50.4862313,30.3960858|50.4866255,30.3954930|50.4809593,30.4072924|50.4814638,30.3993498|50.4719213,30.3959536|50.4865494,30.3962091|50.4878561,30.3942440"
4,Маршрут №4,full,1-9,"https://www.google.com/maps/dir/?api=1&origin=50.4866718,30.3940689&destination=50.4866144,30.3942564&travelmode=driving&waypoints=50.4862451,30.3960940|50.4865760,30.3954385|50.4811307,30.4070384|50.4722305,30.4057989|50.4726402,30.3959548|50.4868422,30.3956716|50.4878534,30.3941866"
4,Маршрут №4,part 1,1-9,"https://www.google.com/maps/dir/?api=1&origin=50.4866718,30.3940689&destination=50.4866144,30.3942564&travelmode=driving&waypoints=50.4862451,30.3960940|50.4865760,30.3954385|50.4811307,30.4070384|50.4722305,30.4057989|50.4726402,30.3959548|50.4868422,30.3956716|50.4878534,30.3941866"
5,Маршрут №5,full,1-8,"https://www.google.com/maps/dir/?api=1&origin=50.4866718,30.3940689&destination=50.4865714,30.3943052&travelmode=driving&waypoints=50.4862406,30.3961152|50.4865564,30.3954339|50.4813582,30.4065793|50.4699381,30.4058279|50.4821696,30.4051154|50.4872997,30.3943978"
5,Маршрут №5,part 1,1-8,"https://www.google.com/maps/dir/?api=1&origin=50.4866718,30.3940689&destination=50.4865714,30.3943052&travelmode=driving&waypoints=50.4862406,30.3961152|50.4865564,30.3954339|50.4813582,30.4065793|50.4699381,30.4058279|50.4821696,30.4051154|50.4872997,30.3943978"
6,Маршрут №6,full,1-9,"https://www.google.com/maps/dir/?api=1&origin=50.4866362,30.3941282&destination=50.4865177,30.3944411&travelmode=driving&waypoints=50.4862983,30.3961291|50.4865611,30.3953834|50.4814608,30.3957471|50.4862876,30.3964085|50.4811924,30.4069666|50.4814989,30.4018875|50.4862451,30.3960940"
6,Маршрут №6,part 1,1-9,"https://www.google.com/maps/dir/?api=1&origin=50.4866362,30.3941282&destination=50.4865177,30.3944411&travelmode=driving&waypoints=50.4862983,30.3961291|50.4865611,30.3953834|50.4814608,30.3957471|50.4862876,30.3964085|50.4811924,30.4069666|50.4814989,30.4018875|50.4862451,30.3960940"
7,Маршрут №7,full,1-7,"https://www.google.com/maps/dir/?api=1&origin=50.4866570,30.3940810&destination=50.4865714,30.3943052&travelmode=driving&waypoints=50.4862422,30.3960499|50.4865760,30.3954385|50.4645744,30.3960568|50.4866311,30.3961014|50.4878584,30.3942579"
7,Маршрут №7,part 1,1-7,"https://www.google.com/maps/dir/?api=1&origin=50.4866570,30.3940810&destination=50.4865714,30.3943052&travelmode=driving&waypoints=50.4862422,30.3960499|50.4865760,30.3954385|50.4645744,30.3960568|50.4866311,30.3961014|50.4878584,30.3942579"
8,Маршрут №8,full,1-8,"https://www.google.com/maps/dir/?api=1&origin=50.4866718,30.3940689&destination=50.4865805,30.3942459&travelmode=driving&waypoints=50.4862422,30.3960499|50.4865225,30.3953970|50.4982961,30.3653566|50.4970677,30.3661934|50.4862465,30.3962218|50.4878561,30.3942440"
8,Маршрут №8,part 1,1-8,"https://www.google.com/maps/dir/?api=1&origin=50.4866718,30.3940689&destination=50.4865805,30.3942459&travelmode=driving&waypoints=50.4862422,30.3960499|50.4865225,30.3953970|50.4982961,30.3653566|50.4970677,30.3661934|50.4862465,30.3962218|50.4878561,30.3942440"
9,Маршрут №9,full,1-10,"https://www.google.com/maps/dir/?api=1&origin=50.4866362,30.3941282&destination=50.4865086,30.3944576&travelmode=driving&waypoints=50.4862422,30.3960499|50.4865760,30.3954385|50.4814682,30.3960054|50.4809598,30.4062730|50.4657908,30.4149446|50.4678463,30.4156098|50.4811307,30.4070384|50.4878857,30.3942819"
9,Маршрут №9,part 1,1-10,"https://www.google.com/maps/dir/?api=1&origin=50.4866362,30.3941282&destination=50.4865086,30.3944576&travelmode=driving&waypoints=50.4862422,30.3960499|50.4865760,30.3954385|50.4814682,30.3960054|50.4809598,30.4062730|50.4657908,30.4149446|50.4678463,30.4156098|50.4811307,30.4070384|50.4878857,30.3942819"
10,Маршрут №10,full,1-10,"https://www.google.com/maps/dir/?api=1&origin=50.4866211,30.3941531&destination=50.4865177,30.3944411&travelmode=driving&waypoints=50.4862422,30.3960499|50.4865760,30.3954385|50.4719594,30.3987898|50.4698503,30.4065359|50.4711638,30.4148078|50.4728394,30.3959690|50.4866930,30.3960824|50.4878584,30.3942579"
10,Маршрут №10,part 1,1-10,"https://www.google.com/maps/dir/?api=1&origin=50.4866211,30.3941531&destination=50.4865177,30.3944411&travelmode=driving&waypoints=50.4862422,30.3960499|50.4865760,30.3954385|50.4719594,30.3987898|50.4698503,30.4065359|50.4711638,30.4148078|50.4728394,30.3959690|50.4866930,30.3960824|50.4878584,30.3942579"
11,Маршрут №11,full,1-10,"https://www.google.com/maps/dir/?api=1&origin=50.4866331,30.3941481&destination=50.4865996,30.3943478&travelmode=driving&waypoints=50.4862338,30.3961061|50.4865785,30.3954329|50.4815364,30.3957447|50.4878849,30.3942697|50.4912993,30.3841608|50.4877703,30.3915369|50.4862276,30.3960376|50.4878727,30.3941923"
11,Маршрут №11,part 1,1-10,"https://www.google.com/maps/dir/?api=1&origin=50.4866331,30.3941481&destination=50.4865996,30.3943478&travelmode=driving&waypoints=50.4862338,30.3961061|50.4865785,30.3954329|50.4815364,30.3957447|50.4878849,30.3942697|50.4912993,30.3841608|50.4877703,30.3915369|50.4862276,30.3960376|50.4878727,30.3941923"
12,Маршрут №12,full,1-9,"https://www.google.com/maps/dir/?api=1&origin=50.4866150,30.3941869&destination=50.4864722,30.3944958&travelmode=driving&waypoints=50.4862336,30.3960859|50.4865872,30.3954419|50.4813180,30.4066894|50.4815194,30.4020576|50.4823421,30.3957598|50.4912459,30.3843160|50.4889941,30.3891474"
12,Маршрут №12,part 1,1-9,"https://www.google.com/maps/dir/?api=1&origin=50.4866150,30.3941869&destination=50.4864722,30.3944958&travelmode=driving&waypoints=50.4862336,30.3960859|50.4865872,30.3954419|50.4813180,30.4066894|50.4815194,30.4020576|50.4823421,30.3957598|50.4912459,30.3843160|50.4889941,30.3891474"
13,Маршрут №13,full,1-9,"https://www.google.com/maps/dir/?api=1&origin=50.4866865,30.3940478&destination=50.4865635,30.3944445&travelmode=driving&waypoints=50.4862564,30.3961078|50.4865785,30.3954329|50.4812652,30.4068151|50.4816885,30.4025796|50.4821459,30.3957668|50.4868829,30.3956604|50.4912720,30.3843146"
13,Маршрут №13,part 1,1-9,"https://www.google.com/maps/dir/?api=1&origin=50.4866865,30.3940478&destination=50.4865635,30.3944445&travelmode=driving&waypoints=50.4862564,30.3961078|50.4865785,30.3954329|50.4812652,30.4068151|50.4816885,30.4025796|50.4821459,30.3957668|50.4868829,30.3956604|50.4912720,30.3843146"
14,Маршрут №14,full,1-6,"https://www.google.com/maps/dir/?api=1&origin=50.4866301,30.3941763&destination=50.4865662,30.3943883&travelmode=driving&waypoints=50.4812652,30.4068151|50.4907284,30.4058833|50.4824124,30.4047406|50.4878704,30.3942704"
14,Маршрут №14,part 1,1-6,"https://www.google.com/maps/dir/?api=1&origin=50.4866301,30.3941763&destination=50.4865662,30.3943883&travelmode=driving&waypoints=50.4812652,30.4068151|50.4907284,30.4058833|50.4824124,30.4047406|50.4878704,30.3942704"
15,Маршрут №15,full,1-10,"https://www.google.com/maps/dir/?api=1&origin=50.4866720,30.3940745&destination=50.4865635,30.3943272&travelmode=driving&waypoints=50.4862409,30.3960405|50.4865785,30.3954329|50.4584959,30.3960484|50.4575260,30.3880513|50.4581383,30.3988594|50.4605591,30.3960895|50.4866118,30.3961475|50.4878673,30.3942306"
15,Маршрут №15,part 1,1-10,"https://www.google.com/maps/dir/?api=1&origin=50.4866720,30.3940745&destination=50.4865635,30.3943272&travelmode=driving&waypoints=50.4862409,30.3960405|50.4865785,30.3954329|50.4584959,30.3960484|50.4575260,30.3880513|50.4581383,30.3988594|50.4605591,30.3960895|50.4866118,30.3961475|50.4878673,30.3942306"
